ID,City,Country Code,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
416,kropotkin,RU,Romania,1555618516,100,52,45.43,40.58,280.37,6.1
417,garoua,CM,China,1555619142,61,11,9.31,13.39,310.3,1.7
418,tessalit,ML,"Micronesia, Federated States of",1555619026,0,4,20.2,1.01,304.9,3.42
419,lata,IN,India,1555618989,48,71,30.78,78.62,265.8,4.16
420,sandorfalva,HU,Honduras,1555619121,0,62,46.36,20.1,286.48,1
421,mayor pablo lagerenza,PY,Puerto Rico,1555619147,99,50,-19.93,-60.77,304.6,3.23
422,harper,US,United States of America,1555619125,1,35,30.3,-99.24,297.04,10.3
423,bocas del toro,PA,Oman,1555618800,59,50,9.33,-82.25,291.48,3.13
424,ayia paraskevi,GR,Gibraltar,1555619121,40,87,40.48,23.05,284.82,1.5
425,la ronge,CA,Burundi,1555617600,75,55,55.1,-105.3,287.15,4.6
426,ponta do sol,BR,Bouvet Island,1555618903,2,83,-20.63,-46,293.4,1.85
427,hambantota,LK,Lithuania,1555619154,28,74,6.12,81.12,302,1.98
428,estelle,US,United States of America,1555619143,20,43,32.87,-97.01,295.93,13.4
429,digoin,FR,Finland,1555618527,0,51,46.48,3.98,289.15,1
430,kloulklubed,PW,Puerto Rico,1555617000,75,88,7.04,134.26,299.15,2.6
431,berlevag,NO,Niue,1555617000,75,80,70.86,29.09,277.15,6.2
432,auki,NG,New Zealand,1555619161,0,5,12.18,6.51,305.3,3.27
433,pecos,US,United States of America,1555618928,1,22,31.42,-103.49,297.59,3.1
434,mangrol,IN,India,1555619163,0,36,25.33,76.51,299.9,2
435,atikokan,CA,Burundi,1555619165,91,55,48.76,-91.62,282.6,3.99
436,pelym,RU,Romania,1555619166,22,92,61.01,62,270.6,2.58
437,kudahuvadhoo,MV,Mozambique,1555619167,86,70,2.67,72.89,303.1,4.5
438,mackay,CA,Burundi,1555617600,75,37,53.65,-115.58,286.15,5.7
439,garden city,US,United States of America,1555619167,75,93,40.73,-73.63,290.37,9.3
440,srednekolymsk,RU,Romania,1555619172,100,86,67.46,153.71,261.8,10.56
441,funtua,NG,New Zealand,1555619173,3,6,11.52,7.31,303.7,3.05
442,sao filipe,CV,Cuba,1555619175,2,83,14.9,-24.5,295.2,9.64
443,azangaro,PE,Paraguay,1555617600,40,34,-14.91,-70.2,291.15,1.5
444,yashkul,RU,Romania,1555619177,58,46,46.17,45.34,276.8,3.53
445,garmsar,IR,Indonesia,1555619178,91,48,35.22,52.34,286.1,2.33
446,namatanai,PG,Peru,1555618929,100,88,-3.66,152.44,297.8,1.44
447,gorontalo,ID,Iceland,1555618900,80,88,0.54,123.06,298,1.12
448,bafoulabe,ML,"Micronesia, Federated States of",1555619182,0,5,13.81,-10.83,311.5,2.37
449,port augusta,au,Aruba,1555618992,1,71,-32.49,137.76,289.82,1.5
450,thinadhoo,MV,Mozambique,1555619184,100,77,0.53,72.93,302.5,5.33
451,agadez,NE,Nauru,1555617360,1,6,16.97,7.99,304.15,4.96
452,susuman,RU,Romania,1555619187,82,90,62.78,148.15,263,0.45
453,usinsk,RU,Romania,1555619188,100,92,66,57.56,272.6,5.83
454,tautira,PF,Peru,1555618995,40,62,-17.73,-149.15,304.15,4.6
455,ilulissat,GL,Gibraltar,1555617000,40,56,69.22,-51.1,263.15,1
456,coffs harbour,au,Aruba,1555619001,90,93,-30.3,153.13,292.15,2.6
457,katangli,RU,Romania,1555619193,99,88,51.71,143.23,273.7,8.99
458,guarapuava,BR,Bouvet Island,1555619188,0,69,-25.4,-51.46,290.8,1.11
460,bandarbeyla,SO,Slovenia,1555619197,33,72,9.49,50.81,299.4,3.69
461,north platte,US,United States of America,1555618569,75,70,41.12,-100.77,283.71,4.6
462,port elizabeth,US,United States of America,1555619177,1,53,39.31,-74.98,300.93,4.6
463,sao felix do xingu,BR,Bouvet Island,1555619201,29,86,-6.64,-51.99,299.8,1.29
464,haapiti,PF,Peru,1555618995,40,62,-17.57,-149.87,304.15,4.6
465,sabaudia,IT,Israel,1555619165,40,54,41.3,13.03,290.37,1.5
466,hohhot,CN,China,1555617600,20,30,40.81,111.65,287.15,5
467,eldoret,KE,Kazakhstan,1555619207,12,84,0.52,35.27,289.1,1.98
468,chapais,CA,Burundi,1555618800,90,93,49.78,-74.86,274.15,6.2
469,farmington,US,United States of America,1555618897,1,13,36.73,-108.21,295.93,8.7
470,labytnangi,RU,Romania,1555619211,99,92,66.66,66.39,268.7,4.96
472,seoul,KR,Korea?(South),1555617600,90,87,37.57,126.98,284.15,4.09
473,leninskoye,RU,Romania,1555615800,0,62,54.82,82.85,267.15,8
474,visby,SE,Saudi Arabia,1555618986,0,69,57.64,18.3,275.93,0.5
475,vrangel,RU,Romania,1555619215,0,42,42.73,133.08,273.7,1.74
